Date,Country,Confirmed
2020-01-23,Singapore-imported,1
2020-01-24,Singapore-imported,3
2020-01-25,Singapore-imported,3
2020-01-26,Singapore-imported,4
2020-01-27,Singapore-imported,5
2020-01-28,Singapore-imported,7
2020-01-29,Singapore-imported,10
2020-01-30,Singapore-imported,13
2020-01-31,Singapore-imported,16
2020-02-01,Singapore-imported,18
2020-02-02,Singapore-imported,18
2020-02-03,Singapore-imported,18
2020-02-04,Singapore-imported,20
2020-02-05,Singapore-imported,21
2020-02-06,Singapore-imported,21
2020-02-07,Singapore-imported,21
2020-02-08,Singapore-imported,21
2020-02-09,Singapore-imported,21
2020-02-10,Singapore-imported,22
2020-02-11,Singapore-imported,22
2020-02-12,Singapore-imported,22
2020-02-13,Singapore-imported,22
2020-02-14,Singapore-imported,22
2020-02-15,Singapore-imported,22
2020-02-16,Singapore-imported,22
2020-02-17,Singapore-imported,23
2020-02-18,Singapore-imported,23
2020-02-19,Singapore-imported,23
2020-02-20,Singapore-imported,23
2020-02-21,Singapore-imported,23
2020-02-22,Singapore-imported,24
2020-02-23,Singapore-imported,24
2020-02-24,Singapore-imported,24
2020-02-25,Singapore-imported,24
2020-02-26,Singapore-imported,24
2020-02-27,Singapore-imported,24
2020-02-28,Singapore-imported,24
2020-02-29,Singapore-imported,24
2020-03-01,Singapore-imported,24
2020-03-02,Singapore-imported,24
2020-03-03,Singapore-imported,24
2020-03-04,Singapore-imported,24
2020-03-05,Singapore-imported,25
2020-03-06,Singapore-imported,27
2020-03-07,Singapore-imported,29
2020-03-08,Singapore-imported,30
2020-03-09,Singapore-imported,33
2020-03-10,Singapore-imported,33
2020-03-11,Singapore-imported,41
2020-03-12,Singapore-imported,46
2020-03-13,Singapore-imported,55
2020-03-14,Singapore-imported,64
2020-03-15,Singapore-imported,73
2020-03-16,Singapore-imported,84
2020-03-17,Singapore-imported,101
2020-03-18,Singapore-imported,134
2020-03-19,Singapore-imported,158
2020-03-20,Singapore-imported,188
2020-03-21,Singapore-imported,227
2020-03-22,Singapore-imported,245
2020-03-23,Singapore-imported,293
2020-03-24,Singapore-imported,325
2020-03-25,Singapore-imported,363
2020-03-26,Singapore-imported,391
2020-03-27,Singapore-imported,413
2020-03-28,Singapore-imported,454
2020-03-29,Singapore-imported,478
2020-03-30,Singapore-imported,487
2020-03-31,Singapore-imported,503
2020-04-01,Singapore-imported,523
2020-04-02,Singapore-imported,531
2020-04-03,Singapore-imported,540
2020-04-04,Singapore-imported,546
2020-04-05,Singapore-imported,550
2020-04-06,Singapore-imported,551
2020-04-07,Singapore-imported,554
2020-04-08,Singapore-imported,556
2020-04-09,Singapore-imported,559
2020-04-10,Singapore-imported,559
2020-04-11,Singapore-imported,559
2020-04-12,Singapore-imported,559
2020-04-13,Singapore-imported,559
2020-04-14,Singapore-imported,559
2020-04-15,Singapore-imported,559
2020-04-16,Singapore-imported,559
2020-04-17,Singapore-imported,560
2020-04-18,Singapore-imported,560
2020-04-19,Singapore-imported,560
2020-04-20,Singapore-imported,560
2020-04-21,Singapore-imported,560
2020-01-23,Singapore-local,0
2020-01-24,Singapore-local,0
2020-01-25,Singapore-local,0
2020-01-26,Singapore-local,0
2020-01-27,Singapore-local,0
2020-01-28,Singapore-local,0
2020-01-29,Singapore-local,0
2020-01-30,Singapore-local,0
2020-01-31,Singapore-local,0
2020-02-01,Singapore-local,0
2020-02-02,Singapore-local,0
2020-02-03,Singapore-local,0
2020-02-04,Singapore-local,4
2020-02-05,Singapore-local,7
2020-02-06,Singapore-local,9
2020-02-07,Singapore-local,12
2020-02-08,Singapore-local,19
2020-02-09,Singapore-local,22
2020-02-10,Singapore-local,23
2020-02-11,Singapore-local,25
2020-02-12,Singapore-local,28
2020-02-13,Singapore-local,36
2020-02-14,Singapore-local,45
2020-02-15,Singapore-local,50
2020-02-16,Singapore-local,53
2020-02-17,Singapore-local,54
2020-02-18,Singapore-local,58
2020-02-19,Singapore-local,61
2020-02-20,Singapore-local,62
2020-02-21,Singapore-local,63
2020-02-22,Singapore-local,65
2020-02-23,Singapore-local,65
2020-02-24,Singapore-local,66
2020-02-25,Singapore-local,67
2020-02-26,Singapore-local,69
2020-02-27,Singapore-local,72
2020-02-28,Singapore-local,74
2020-02-29,Singapore-local,78
2020-03-01,Singapore-local,82
2020-03-02,Singapore-local,84
2020-03-03,Singapore-local,86
2020-03-04,Singapore-local,88
2020-03-05,Singapore-local,92
2020-03-06,Singapore-local,103
2020-03-07,Singapore-local,109
2020-03-08,Singapore-local,120
2020-03-09,Singapore-local,127
2020-03-10,Singapore-local,133
2020-03-11,Singapore-local,137
2020-03-12,Singapore-local,141
2020-03-13,Singapore-local,145
2020-03-14,Singapore-local,148
2020-03-15,Singapore-local,153
2020-03-16,Singapore-local,159
2020-03-17,Singapore-local,165
2020-03-18,Singapore-local,179
2020-03-19,Singapore-local,187
2020-03-20,Singapore-local,197
2020-03-21,Singapore-local,205
2020-03-22,Singapore-local,210
2020-03-23,Singapore-local,216
2020-03-24,Singapore-local,233
2020-03-25,Singapore-local,268
2020-03-26,Singapore-local,292
2020-03-27,Singapore-local,319
2020-03-28,Singapore-local,348
2020-03-29,Singapore-local,366
2020-03-30,Singapore-local,392
2020-03-31,Singapore-local,423
2020-04-01,Singapore-local,477
2020-04-02,Singapore-local,518
2020-04-03,Singapore-local,513
2020-04-04,Singapore-local,556
2020-04-05,Singapore-local,614
2020-04-06,Singapore-local,645
2020-04-07,Singapore-local,691
2020-04-08,Singapore-local,757
2020-04-09,Singapore-local,813
2020-04-10,Singapore-local,870
2020-04-11,Singapore-local,910
2020-04-12,Singapore-local,955
2020-04-13,Singapore-local,1007
2020-04-14,Singapore-local,1066
2020-04-15,Singapore-local,1107
2020-04-16,Singapore-local,1159
2020-04-17,Singapore-local,1223
2020-04-18,Singapore-local,1245
2020-04-19,Singapore-local,1270
2020-04-20,Singapore-local,1286
2020-04-21,Singapore-local,1314
2020-01-23,Singapore-dorm,0
2020-01-24,Singapore-dorm,0
2020-01-25,Singapore-dorm,0
2020-01-26,Singapore-dorm,0
2020-01-27,Singapore-dorm,0
2020-01-28,Singapore-dorm,0
2020-01-29,Singapore-dorm,0
2020-01-30,Singapore-dorm,0
2020-01-31,Singapore-dorm,0
2020-02-01,Singapore-dorm,0
2020-02-02,Singapore-dorm,0
2020-02-03,Singapore-dorm,0
2020-02-04,Singapore-dorm,0
2020-02-05,Singapore-dorm,0
2020-02-06,Singapore-dorm,0
2020-02-07,Singapore-dorm,0
2020-02-08,Singapore-dorm,0
2020-02-09,Singapore-dorm,0
2020-02-10,Singapore-dorm,0
2020-02-11,Singapore-dorm,0
2020-02-12,Singapore-dorm,0
2020-02-13,Singapore-dorm,0
2020-02-14,Singapore-dorm,0
2020-02-15,Singapore-dorm,0
2020-02-16,Singapore-dorm,0
2020-02-17,Singapore-dorm,0
2020-02-18,Singapore-dorm,0
2020-02-19,Singapore-dorm,0
2020-02-20,Singapore-dorm,0
2020-02-21,Singapore-dorm,0
2020-02-22,Singapore-dorm,0
2020-02-23,Singapore-dorm,0
2020-02-24,Singapore-dorm,0
2020-02-25,Singapore-dorm,0
2020-02-26,Singapore-dorm,0
2020-02-27,Singapore-dorm,0
2020-02-28,Singapore-dorm,0
2020-02-29,Singapore-dorm,0
2020-03-01,Singapore-dorm,0
2020-03-02,Singapore-dorm,0
2020-03-03,Singapore-dorm,0
2020-03-04,Singapore-dorm,0
2020-03-05,Singapore-dorm,0
2020-03-06,Singapore-dorm,0
2020-03-07,Singapore-dorm,0
2020-03-08,Singapore-dorm,0
2020-03-09,Singapore-dorm,0
2020-03-10,Singapore-dorm,0
2020-03-11,Singapore-dorm,0
2020-03-12,Singapore-dorm,0
2020-03-13,Singapore-dorm,0
2020-03-14,Singapore-dorm,0
2020-03-15,Singapore-dorm,0
2020-03-16,Singapore-dorm,0
2020-03-17,Singapore-dorm,0
2020-03-18,Singapore-dorm,0
2020-03-19,Singapore-dorm,0
2020-03-20,Singapore-dorm,0
2020-03-21,Singapore-dorm,0
2020-03-22,Singapore-dorm,0
2020-03-23,Singapore-dorm,0
2020-03-24,Singapore-dorm,0
2020-03-25,Singapore-dorm,0
2020-03-26,Singapore-dorm,0
2020-03-27,Singapore-dorm,0
2020-03-28,Singapore-dorm,0
2020-03-29,Singapore-dorm,0
2020-03-30,Singapore-dorm,0
2020-03-31,Singapore-dorm,0
2020-04-01,Singapore-dorm,0
2020-04-02,Singapore-dorm,0
2020-04-03,Singapore-dorm,61
2020-04-04,Singapore-dorm,87
2020-04-05,Singapore-dorm,145
2020-04-06,Singapore-dorm,179
2020-04-07,Singapore-dorm,236
2020-04-08,Singapore-dorm,310
2020-04-09,Singapore-dorm,538
2020-04-10,Singapore-dorm,679
2020-04-11,Singapore-dorm,830
2020-04-12,Singapore-dorm,1018
2020-04-13,Singapore-dorm,1352
2020-04-14,Singapore-dorm,1627
2020-04-15,Singapore-dorm,2033
2020-04-16,Singapore-dorm,2709
2020-04-17,Singapore-dorm,3267
2020-04-18,Singapore-dorm,4187
2020-04-19,Singapore-dorm,4758
2020-04-20,Singapore-dorm,6168
2020-04-21,Singapore-dorm,7251